Statistical profiling result from isolate-0x4ea6bf0-409463-v8-409463.log, (26432 ticks, 89 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     18    0.1%    0.2%  LazyCompile: *handle /home/knrd/projects/tfb/frameworks/TypeScript/marble/node_modules/.pnpm/@marblejs+core@3.4.9_fp-ts@2.10.2+rxjs@6.6.7/node_modules/@marblejs/core/dist/http/server/http.server.listener.js:17:20
     17    0.1%    0.2%  LazyCompile: *get node:internal/bootstrap/pre_execution:318:8
     16    0.1%    0.1%  LazyCompile: *emitCloseNT node:_http_server:851:21
     15    0.1%    0.1%  LazyCompile: *processPromiseRejections node:internal/process/promises:202:34
     15    0.1%    0.1%  LazyCompile: *SimpleInnerSubscriber._complete /home/knrd/projects/tfb/frameworks/TypeScript/marble/node_modules/.pnpm/rxjs@6.6.7/node_modules/rxjs/internal/innerSubscribe.js:33:58
     13    0.0%    0.1%  RegExp: ^\/json[\/#\?]?$
     13    0.0%    0.1%  LazyCompile: *MergeMapSubscriber._complete /home/knrd/projects/tfb/frameworks/TypeScript/marble/node_modules/.pnpm/rxjs@6.6.7/node_modules/rxjs/internal/operators/mergeMap.js:85:55
     12    0.0%    0.1%  LazyCompile: *onFinish node:_http_outgoing:831:18
     12    0.0%    0.1%  LazyCompile: *MapSubscriber._next /home/knrd/projects/tfb/frameworks/TypeScript/marble/node_modules/.pnpm/rxjs@6.6.7/node_modules/rxjs/internal/operators/map.js:46:46
     11    0.0%    0.1%  LazyCompile: *<anonymous> /home/knrd/projects/tfb/frameworks/TypeScript/marble/node_modules/.pnpm/rxjs@6.6.7/node_modules/rxjs/internal/operators/mergeMap.js:27:21
     10    0.0%    0.1%  LazyCompile: *<anonymous> /home/knrd/projects/tfb/frameworks/TypeScript/marble/node_modules/.pnpm/@marblejs+core@3.4.9_fp-ts@2.10.2+rxjs@6.6.7/node_modules/@marblejs/core/dist/http/router/http.router.helpers.js:14:29
      8    0.0%    0.1%  LazyCompile: *urlParse node:url:154:18
      8    0.0%    0.1%  LazyCompile: *insertGuarded node:internal/timers:325:23
      6    0.0%    0.1%  LazyCompile: *resolve node:path:1012:10
      6    0.0%    0.1%  LazyCompile: *normalizeString node:path:61:25
      4    0.0%    0.0%  LazyCompile: *remove node:internal/linkedlist:15:16
      4    0.0%    0.0%  LazyCompile: *clearRequestTimeout node:_http_server:782:29
      3    0.0%    0.0%  LazyCompile: *of /home/knrd/projects/tfb/frameworks/TypeScript/marble/node_modules/.pnpm/rxjs@6.6.7/node_modules/rxjs/internal/observable/of.js:6:12
      3    0.0%    0.0%  LazyCompile: *hasHooks node:internal/async_hooks:437:18
      3    0.0%    0.0%  LazyCompile: *get node:internal/bootstrap/pre_execution:306:8
      3    0.0%    0.0%  LazyCompile: *Module._nodeModulePaths node:internal/modules/cjs/loader:620:37
      3    0.0%    0.0%  LazyCompile: *<anonymous> /home/knrd/projects/tfb/frameworks/TypeScript/marble/node_modules/.pnpm/@marblejs+core@3.4.9_fp-ts@2.10.2+rxjs@6.6.7/node_modules/@marblejs/core/dist/http/router/http.router.resolver.v2.js:26:44
      2    0.0%    0.0%  LazyCompile: *mapOperation /home/knrd/projects/tfb/frameworks/TypeScript/marble/node_modules/.pnpm/rxjs@6.6.7/node_modules/rxjs/internal/operators/map.js:18:33
      2    0.0%    0.0%  LazyCompile: *<anonymous> /home/knrd/projects/tfb/frameworks/TypeScript/marble/node_modules/.pnpm/fp-ts@2.10.2/node_modules/fp-ts/lib/Option.js:451:42
      2    0.0%    0.0%  LazyCompile: *<anonymous> /home/knrd/projects/tfb/frameworks/TypeScript/marble/node_modules/.pnpm/fp-ts@2.10.2/node_modules/fp-ts/lib/Option.js:187:54
      2    0.0%    0.0%  LazyCompile: *<anonymous> /home/knrd/projects/tfb/frameworks/TypeScript/marble/node_modules/.pnpm/@marblejs+core@3.4.9_fp-ts@2.10.2+rxjs@6.6.7/node_modules/@marblejs/core/dist/http/response/http.responseHandler.js:15:53
      1    0.0%    0.0%  LazyCompile: *realpathSync node:fs:1729:22
      1    0.0%    0.0%  LazyCompile: *readStart node:_http_incoming:42:19
      1    0.0%    0.0%  LazyCompile: *get node:internal/streams/writable:774:8
      1    0.0%    0.0%  LazyCompile: *dirname node:path:1171:10
      1    0.0%    0.0%  LazyCompile: *callback node:internal/streams/writable:555:44
      1    0.0%    0.0%  LazyCompile: *_unrefTimer node:net:396:52
      1    0.0%    0.0%  LazyCompile: *Writable.write node:internal/streams/writable:293:36
      1    0.0%    0.0%  LazyCompile: *Subscription.add /home/knrd/projects/tfb/frameworks/TypeScript/marble/node_modules/.pnpm/rxjs@6.6.7/node_modules/rxjs/internal/Subscription.js:71:43
      1    0.0%    0.0%  LazyCompile: *Subject.next /home/knrd/projects/tfb/frameworks/TypeScript/marble/node_modules/.pnpm/rxjs@6.6.7/node_modules/rxjs/internal/Subject.js:51:39
      1    0.0%    0.0%  LazyCompile: *Observable.pipe /home/knrd/projects/tfb/frameworks/TypeScript/marble/node_modules/.pnpm/rxjs@6.6.7/node_modules/rxjs/internal/Observable.js:84:42
      1    0.0%    0.0%  LazyCompile: *Observable.lift /home/knrd/projects/tfb/frameworks/TypeScript/marble/node_modules/.pnpm/rxjs@6.6.7/node_modules/rxjs/internal/Observable.js:15:42
      1    0.0%    0.0%  LazyCompile: *MergeMapSubscriber._innerSub /home/knrd/projects/tfb/frameworks/TypeScript/marble/node_modules/.pnpm/rxjs@6.6.7/node_modules/rxjs/internal/operators/mergeMap.js:76:55

 [C++]:
   ticks  total  nonlib   name
   3346   12.7%   30.6%  __GI___writev
    883    3.3%    8.1%  __libc_read
    179    0.7%    1.6%  __pthread_mutex_unlock_usercnt
    167    0.6%    1.5%  epoll_ctl
    133    0.5%    1.2%  __memcpy_avx_unaligned_erms
    104    0.4%    1.0%  __GI___libc_malloc
     88    0.3%    0.8%  cfree@GLIBC_2.2.5
     77    0.3%    0.7%  __GI___pthread_getspecific
     56    0.2%    0.5%  __memchr_avx2
     53    0.2%    0.5%  epoll_pwait
     47    0.2%    0.4%  __pthread_cond_signal
     47    0.2%    0.4%  __clock_gettime
     43    0.2%    0.4%  _int_free
     39    0.1%    0.4%  __lll_lock_wait
     34    0.1%    0.3%  operator delete(void*)
     31    0.1%    0.3%  _int_malloc
     27    0.1%    0.2%  operator new(unsigned long)
     26    0.1%    0.2%  __GI___libc_write
     23    0.1%    0.2%  __futex_abstimed_wait_common64
     13    0.0%    0.1%  operator new[](unsigned long)
     11    0.0%    0.1%  fwrite
     11    0.0%    0.1%  __libc_enable_asynccancel
      8    0.0%    0.1%  operator delete[](void*)
      8    0.0%    0.1%  malloc_consolidate
      8    0.0%    0.1%  __memcmp_avx2_movbe
      5    0.0%    0.0%  __pthread_enable_asynccancel
      4    0.0%    0.0%  unlink_chunk.constprop.0
      4    0.0%    0.0%  __GI___pthread_mutex_lock
      4    0.0%    0.0%  __GI___mprotect
      3    0.0%    0.0%  std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const
      3    0.0%    0.0%  std::ostream::sentry::sentry(std::ostream&)
      3    0.0%    0.0%  std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)
      3    0.0%    0.0%  __memset_avx2_unaligned_erms
      3    0.0%    0.0%  __mempcpy_avx_unaligned_erms
      3    0.0%    0.0%  __GI__IO_file_xsputn
      2    0.0%    0.0%  syscall
      2    0.0%    0.0%  std::ostream::sentry::~sentry()
      2    0.0%    0.0%  std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)
      2    0.0%    0.0%  std::__detail::_Prime_rehash_policy::_M_need_rehash(unsigned long, unsigned long, unsigned long) const
      2    0.0%    0.0%  __strlen_avx2
      2    0.0%    0.0%  __pthread_cond_broadcast
      2    0.0%    0.0%  __memset_avx2_erms
      2    0.0%    0.0%  __GI__IO_default_xsputn
      1    0.0%    0.0%  std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::do_put(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const
